"composerName","workTitle"
"Strauss,  Richard","CAPRICCIO, OP. 85"
"Debussy,  Claude","PRELUDES, BOOK II, NO. 12: FIREWORKS"
"Ben-Haim,  Paul","TOCCATA"
"Starer,  Robert","CONCERTO, PIANO, NO. 2"
"Porter,  Cole","IN THE STILL OF THE NIGHT"
"Traditional,","ANU BANU ARTZU (ARR. Harris)"
"Traditional,","AGADA (ARR. Harris)"
"Bloch,  Ernest","PSALM 22"
"Traditional,","R'TZEI (ARR. Ellstein)"
"Traditional,","A ZEMERL (ARR. Bass)"
"Parish,  M","MOMELE"
"Lutoslawski,  Witold","CONCERTO, ORCHESTRA"
"Prokofiev,  Sergei","WINTER BONFIRE: SUITE, OP. 122"
"Ripoll,  Michael  Douglas","TROIKA"
"Blackburn,  John  M","MOONLIGHT IN VERMONT"
"Bernard,  Felix","Smith, Richard B. / WINTER WONDERLAND (ARR. Unspecified)"
"Glazunov,  Alexander","SEASONS, THE: FOURTH TABLEAU"
"Tiomkin,  Dimitri","SEARCH FOR PARADISE"
"Hadjidakis,  Manos","NEVER ON SUNDAY"
"Styne,  Jule","THREE COINS IN A FOUNTAIN"
"Rascel,  Renato","ARRIVEDERCI ROMA"
"Chou,  Wen-Chung","AND THE FALLEN PETALS"
"Khachaturian,  Aram","CONCERTO-RHAPSODY, CELLO AND ORCHESTRA"
"Gould,  Morton","DIALOGUES FOR PIANO AND STRING ORCHESTRA"
"Lopatnikoff,  Nikolai","FESTIVAL OVERTURE"
"Stravinsky,  Igor","CONCERTO, VIOLIN, D MAJOR"
"Ponce,  Manuel","ESTRELLITA (LITTLE STAR)"
"Bernstein,  Leonard","WEST SIDE STORY, SYMPHONIC DANCES"
"Bernstein,  Leonard","WONDERFUL TOWN"
"Bernstein,  Leonard","WEST SIDE STORY"
"Tansman,  Alexandre","SUITE BAROQUE"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 23, D MAJOR, K.162B (OLD K.181)"
"Kern,  Jerome","MARK TWAIN"
"Creston,  Paul","JANUS, OP. 77"
"Weber,  Ben","CONCERTO, PIANO, OP. 52"
"Corelli,  Arcangelo","SUITE, STRING ORCHESTRA"
"Mozart,  Wolfgang  Amadeus","DIVERTIMENTO, D MAJOR, K.125A (OLD K.136)"
"Duparc,  Henri","VIE ANTERIEURE, LA (VOICE + PIANO)"
"Milhaud,  Darius","CHANT DE NOURRICE (HEBREW LULLABY)"
"Poulenc,  Francis","VIOLON (VOICE + PIANO)"
"Satie,  Erik","CHAPELIER, LE (VOICE + PIANO)"
"Canteloube,  Joseph","SONGS OF THE AUVERGNE, SERIES 2"
"Canteloube,  Joseph","SONGS OF THE AUVERGNE, SERIES 3"
"Mayuzumi,  Toshiro","BACCHANALE"
"Anthem,","JAPAN"
"Creston,  Paul","DANCE VARIATIONS, OP. 30"
"Gershwin,  George","SINBAD"
"Gershwin,  George","FUNNY FACE"
"Gershwin,  George","RIALTO RIPPLES"
"Sellers,  Brother John","ROOTS OF THE BLUES"
"Riegger,  Wallingford","DANCE RHYTHMS, OP. 58"
"Riegger,  Wallingford","ROMANZA, STRING ORCHESTRA, OP. 56A"
"Puccini,  Giacomo","RONDINE, LA"
"Piston,  Walter","SYMPHONY NO. 4"
"Unspecified,","DANCE MEDLEY"
"Brahms,  Johannes","ERNSTE GESANGE, VIER (FOUR SERIOUS SONGS), OP. 121 (ARR. Sargent)"
"Berlioz,  Hector","DEATH OF CLEOPATRA"
"Debussy,  Claude","RHAPSODY, ALTO SAXOPHONE AND ORCHESTRA (ARR. Roger-Ducasse)"
"Harris,  Roy","SYMPHONY NO.  7"
"Diamond,  David","SYMPHONY NO.  8"
"Smit,  Leo","CAPRICCIO FOR STRINGS"
"Dor,  Dani","I AM BLACK AND BEAUTIFUL"
"Goldfaden,  Abraham","ROZINKES MIT MANDLEN"
"Traditional,","YEHI ROTZON"
"Gold,  Ernest","THIS LAND IS MINE (ARR. Roman)"
"Bloch,  Ernest","BAAL SHEM SUITE"
"Traditional,","A DUDELE"
"Traditional,","YERUSHALAYIM"
"Alabieff,  Alexander","THE RUSSIAN NIGHTINGALE"
"Miron,  Issachar","LOVE'S A LEGEND (ARR. Harris)"
"Foss,  Lukas","PARABLE OF DEATH, A"
"Prokofiev,  Sergei","SYMPHONY NO. 3, OP. 44"
"Bach,  Johann  Sebastian","CON., OBOE AND VIOLIN,  [C OR D MINOR], BWV 1060"
"Rochberg,  George","SYMPHONY NO. 2"
"Wolf,  Hugo","MIGNON (KENNST DU DAS LAND) (ORCH, 1893) (ARR. Wolf)"
"Rossini,  Gioachino","COMTE ORY, LE"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 24, B-FLAT MAJOR, K.173DA (OLD K.182)"
"Thomson,  Virgil","SOLEMN MUSIC, A"
"Boulanger,  Lili","PSALM 130: DU FOND DE L'ABIME"
"Boulanger,  Lili","PSALM 129: ILS M'ONT ASSEZ OPPRIME"
"Boulanger,  Lili","PSALM 24: LA TERRE APPARTIENT A L'ETERNEL"
"Prokofiev,  Sergei","SYMPHONY NO. 7, OP. 131"
"Kurka,  Robert","JULIUS CAESAR"
"Tchaikovsky,  Pyotr  Ilyich","NUTCRACKER, THE: SUITE, WITH VERSES BY NASH"
"Haydn,  Franz  Joseph","SYMPHONY NO.  22, E FLAT MAJOR (PHILOSOPHER)"
"Stravinsky,  Igor","GREETING PRELUDE"
"Stravinsky,  Igor","CONCERTO, E FLAT (DUMBARTON OAKS)"
"Stravinsky,  Igor","AGON, BALLET FOR TWELVE DANCERS"
"Haydn,  Franz  Joseph","SYMPHONY NO.  83, G MINOR (LA POULE)"
"Riegger,  Wallingford","STUDY IN SONORITY, OP. 7"
"Nielsen,  Carl","MASKARADE"
"Nielsen,  Carl","SYMPHONY NO. 5, OP. 50"
"Bloch,  Ernest","PRAYER (ARR. Antonini)"
"Paganini,  Nicolò","VARIATIONS ON ""DAL TUO STELLATO SOGLIO"" FROM ROSSINI'S ""MOSES"" (ARR. Reinshagen)"
"Telemann,  Georg  Philipp","SUITE, FLUTE/ORCH, A MINOR, TWV 55:A2"
"Telemann,  Georg  Philipp","CONCERTO, VIOLINS (4), ARR. FOR GUITARS, D MAJOR (ARR. Romero)"
"Ibert,  Jacques","TROIS PIÈCES BRÈVES, WIND QUINTET"
"Gottlieb,  Jack","TWILIGHT CRANE WIND QUINTET"
"Mozart,  Wolfgang  Amadeus","QUARTET, FLUTE, NO. 1, D MAJOR, K.285"
"Albeniz [Albéniz],  Isaac","GRANADA (GUITAR) (ARR. Unspecified)"
"Traditional,","FLAMENCO MUSIC: BULERIAS"
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 1, B-FLAT MAJOR, K.207"
"Haydn,  Franz  Joseph","SYMPHONY NO.  82, C MAJOR (L'OURS)"
"Ives,  Charles","CENTRAL PARK IN THE DARK"
"Piston,  Walter","CONCERTO, VIOLIN, NO. 2"
"Liszt,  Franz","HUNGARIAN RHAPSODY NO. 6, D MAJOR"
"Loewe,  Frederick","GIGI"
"Loewe,  Frederick","CAMELOT (COMPLETE)"
"Vivaldi,  Antonio","CONCERTO, VIOLIN, G MINOR, RV 317"
"Unspecified,","GALICIAN SUITE"
"Traditional,","FARRUCA"
"Unspecified,","GITANILLOS DE BRONCE, LOS"
"Traditional,","VERDIALES DE LA SIERRA"
"Traditional,","GITANERIAS FLAMENCAS"
"Traditional,","BASQUE SUITE"
"Westerman,  Gerhart von","DIVERTIMENTO, ORCHESTRA, OP. 16"
"Stravinsky,  Igor","SCHERZO A LA RUSSE"
"Gotovak,  Jakov","SYMPHONIC KOLO"
"Strauss,  Johann, II","IM KRAPFENWALDL, OP. 336"
"Strauss,  Johann, II","VERGNUGUNGSZUG (PLEASURE TRAIN) POLKA, OP. 281"
"Strauss,  Johann, II","WALDMEISTER, DER"
"Strauss,  Johann, II","AUF DER JAGD (AT THE HUNT)  POLKA, OP.373"
"Copland,  Aaron","CONNOTATIONS"
"Vaughan Williams,  Ralph","SERENADE TO MUSIC"
"Pinkham,  Daniel","CATACOUSTICAL MEASURES"
"Fine,  Irving","NOTTURNO FOR STRINGS AND HARP"
"Schuman,  William","SYMPHONY NO. 8"
"Etler,  Alvin","CONCERTO, WIND QUINTET"
"Bach,  Johann  Christian","SINFONIA, G MINOR, OP. 6, NO. 6"
"Einem,  Gottfried  Von","DANTONS TOD, OP. 6A"
"Milhaud,  Darius","OVERTURE PHILHARMONIQUE"
"Delius,  Frederick","INTERMEZZO FROM FENNIMORE AND GERDA"
"Gerhard,  Roberto","SYMPHONY NO. 1"
"Janacek [Janácek],  Leoš","GLAGOLITIC MASS (SLAVONIC MASS)"
"Barber,  Samuel","ANDROMACHE'S FAREWELL, OP.39"
"Poulenc,  Francis","SEPT REPONS DES TENEBRES"
"Hindemith,  Paul","WHEN LILACS LAST IN THE DOORYARD BLOOM'D"
"Bruckner,  Anton","PSALM 150"
"Prokofiev,  Sergei","SONATA, VIOLIN/PIANO, D MAJOR, OP. 94 BIS"
"Haydn,  Franz  Joseph","SONATA, PIANO, NO. 52, E FLAT, HOB XVI/52"
"Paganini,  Nicolò","CAPRICE, NO. 2 (PIANO) (ARR. Liszt)"
"Hindemith,  Paul","CONCERTO, ORGAN"
"Ben-Haim,  Paul","FROM ISRAEL"
"Traditional,","ISRAEL AND YIDDISH SONGS (UNSPECIFIED)"
"Britten,  Benjamin","SPRING SYMPHONY, OP. 44"
"Harris,  Roy","KENTUCKY SPRING"
"Henze,  Hans  Werner","SYMPHONY NO. 5"
"Ives,  Charles","HOLIDAYS SYMPHONY"
"Gershwin,  George","PORGY AND BESS: CATFISH ROW SUITE"
"Gershwin,  George","SHALL WE DANCE: PROMENADE (ORCHESTRA) (ARR. Montenegro)"
"Gottschalk,  Louis  Moreau","GRANDE TARENTELLE FOR PIANO AND ORCHESTRA (ARR. Kay)"
"Strauss,  Johann, II","STRAUSSIANA: BALLET (ARR. Kostelanetz)"
"Korngold,  Erich","DIE TOTE STADT"
"Gershwin,  George","PRELUDES, THREE (ARR. Unspecified)"
"Previn,  Sir  André","OVERTURE TO A COMEDY"
"Bernstein,  Leonard","WEST SIDE STORY, JAZZ IMPROVISATIONS"
"Turina,  Joaquin","LA ORACIÓN DEL TORERO, OP. 34"
"Walton,  William","HENRY V: SUITE (FILM MUSIC)"
"Prokofiev,  Sergei","ROMEO AND JULIET, OP. 64"
"Strauss,  Josef","DELIRIEN WALTZ, OP. 212"
"Strauss,  Josef","JOCKEI POLKA, OP. 278"
"Zeller,  Karl","OBERSTEIGER, DER"
"Strauss,  Johann, II","PRINCESS NINETTA (FUERSTIN NINETTA)"
"Albeniz [Albéniz],  Isaac","IDILIO (LEYENDA DE ASTURIAS) (ARR. Unspecified)"
"Turina,  Joaquin","SACROMONTE (DANCE SUITE) (ARR. Unspecified)"
"Traditional,","FLAMENCO MUSIC: SOLEA"
"Vitali,  Tomaso  Antonio","CHACONNE (ARR. Lavigne)"
"Berlin,  Irving","ALEXANDER'S RAGTIME BAND"
"Berlin,  Irving","ZIEGFELD FOLLIES OF 1920"
"Berlin,  Irving","CALL ME MADAM"
"Berlin,  Irving","MISS LIBERTY"
"Henderson,  Skitch","A BERLIN PORTRAIT"
"Berlin,  Irving","TOP HAT"
"Berlin,  Irving","FOLLOW THE FLEET"
"Berlin,  Irving","CAREFREE"
"Berlin,  Irving","HOLIDAY INN: WHITE CHRISTMAS"
"Berlin,  Irving","MEDLEY FOR ORCHESTRA"
"Berlin,  Irving","GOD BLESS AMERICA"
"Kurka,  Robert","GOOD SOLDIER SCHWEIK, THE: SUITE"
"Bihari,  Janos","VERBUNKOS (RECRUITING DANCE)"
"Liszt,  Franz","RHAPSODY (BALLET MUSIC) (ARR. Hutchings)"
"Bartok [Bartók],  Béla","ROMANIAN DANCES: SWORD DANCE"
"Traditional,","GYPSY LIFE (BALLET MUSIC) (ARR. Veress)"
"Traditional,","OSTOR TANC (WHIP DANCE) (ARR. Steiner)"
"Traditional,","RAKOCZY MARCH"
"Hubay,  Jeno","TOKAYI LAKODALMAS (BALLET MUSIC) (ARR. Axin)"
"Vetessy,  George","SUITE, ORCHESTRA, NO. 1"
"Ginastera,  Alberto","CONCERTO, VIOLIN"
"Stravinsky,  Igor","SYMPHONY IN C"
"Haieff,  Alexei","SYMPHONY NO. 2"
"Barber,  Samuel","CONCERTO, PIANO, OP.38"
"Baird,  Tadeusz","FOUR ESSAYS FOR ORCHESTRA"
"Ran,  Shulamit","CAPRICCIO FOR PIANO"
"Bartok [Bartók],  Béla","RHAPSODY NO. 1, CELLO, BB 94C"
"Rossini,  Gioachino","SONATA NO. 3 IN C MAJOR"
"Xenakis,  Iannis","PITHOPRAKTA"
"Ligeti,  György","ATMOSPHERES"
"Austin,  Larry","IMPROVISATIONS FOR ORCHESTRA AND JAZZ SOLOISTS"
"Wolpe,  Stefan","SYMPHONY NO. 1"
"Varese [Varèse],  Edgard","DESERTS [DÉSERTS]"
"Hindemith,  Paul","STRING QUARTET NO. 3, OP. 22"
"Prokofiev,  Sergei","TALE OF THE BUFFOON, THE (CHOUT): SUITE, OP. 21"
"Szymanowski,  Karol","CONCERTO, VIOLIN, NO. 2, OP. 61"
"Cage,  John","ATLAS ECLIPTICALIS WITH WINTER MUSIC (ELEC.)"
"Feldman,  Morton","... OUT OF ""LAST PIECES"""
"Brown,  Earle","AVAILABLE FORMS II"
"Schuller,  Gunther","JOURNEY INTO JAZZ"
"Walton,  William","SYMPHONY NO. 1"
"La Montaine,  John","FRAGMENTS FROM ""THE SONG OF SONGS,"" OP. 29"
"Lutoslawski,  Witold","FUNERAL MUSIC"
"Shostakovich,  Dmitri","CONCERTO, CELLO, NO. 1, OP. 107"
"Mennin,  Peter","SYMPHONY NO. 7 (VARIATION SYMPHONY)"
"Bernstein,  Leonard","SYMPHONY NO. 3, KADDISH"
"Foss,  Lukas","GRIFFELKIN"
"Handel,  George  Frideric","PSALM 127"
"Reif,","TRIPLE CITY"
"Hindemith,  Paul","CONCERTO, VIOLIN"
"Chavez [Chávez],  Carlos","SYMPHONY NO. 6"
"Hovhaness,  Alan","MEDITATION ON ORPHEUS"
"Ives,  Charles","VARIATIONS ON ""AMERICA"" (ARR. Schuman)"
"Dallapiccola,  Luigi","AN MATHILDE"
"Schuman,  William","ORCHESTRA SONG, THE (1963)"
"Sullivan,  Sir  Arthur  Seymour","{u'em': u'DI BALLO', u'_': u'OVERTURE,'}"
"Walton,  William","HAMLET: FANFARE (ARR. Sargent)"
"Quilter,  Roger","THREE SHAKESPEARE SONGS"
"Ravel,  Maurice","BARQUE SUR L'OCEAN, UNE"
"Traditional,","FRENCH FOLK SONGS (ARR. Wagner)"
"Poulenc,  Francis","CONCERTO, PIANO"
"Mendelssohn,  Felix","CONCERTO, PIANOS (2), E MAJOR"
"Weill,  Kurt","KLEINE DREIGROSCHENMUSIK: SUITE"
"Gershwin,  George","STRIKE UP THE BAND (ARR. Green)"
"Minkus,  Leon","PAQUITA (BALLET): PAS DE TROIS (ARR. Unspecified)"
"Tchaikovsky,  Pyotr  Ilyich","CONCERTO, PIANO, NO. 3, E-FLAT MAJOR, OP.75"
"Bach,  Johann  Sebastian","THE WISE VIRGINS: SHEEP MAY SAFELY GRAZE (ARR. Walton)"
"Gottschalk,  Louis  Moreau","TARANTELLA  (ARR. Kay)"
"Chopin,  Frédéric","ETUDE FOR PIANO, OP. 10"
"Traditional,","FOLK SELECTIONS (UNSPECIFIED) (ARR. Holmes)"
"Mulligan,  Gerry","JAZZ SELECTIONS (UNSPECIFIED)"
"Unspecified,","JAZZ SELECTIONS (UNSPECIFIED) (ARR. Nero)"
"Koyama,  Kiyoshige","SYMPHONIC POEM: KOBIKI-UTA"
"Walton,  William","SYMPHONY NO. 2"
"Lopatnikoff,  Nikolai","VARIZIONI CONCERTANTI, OP. 38"
"Copland,  Aaron","NONET (9 STRINGS/FULL STR. ORCH.)"
"Wolf,  Hugo","HARFENSPIELER I-III"
"Kirchner,  Leon","CONCERTO, PIANO, NO. 2"
"Berlioz,  Hector","SYMPHONIE FUNEBRE ET TRIOMPHALE, OP.15"
"Bartok [Bartók],  Béla","SCHERZO, PIANO AND ORCHESTRA, OP.  2, BB 35"
"Bach,  Carl  Philipp Emanuel","CONCERTO, TWO PIANOS, F MAJOR"
"Beethoven,  Ludwig  van","CANTATA ON THE DEATH OF EMPEROR JOSEPH II, WOO 87"
"Lees,  Benjamin","PROFILE FOR ORCHESTRA"
"Piston,  Walter","CONCERTO, VIOLA"
"Martinu,  Bohuslav","CONCERTO, PIANO, NO. 3"
"Bruckner,  Anton","MASS NO. 3 IN F MINOR (GREAT)"
"Hovhaness,  Alan","FLOATING WORLD - UKIYO, OP. 209"
"Palmer,  Robert","CENTENNIAL OVERTURE, A"
"Takemitsu,  Toru","REQUIEM FOR STRING ORCHESTRA"
"Dallapiccola,  Luigi","VARIATIONS FOR ORCHESTRA"
"Unspecified,","ANNOUNCED FROM THE STAGE"
"Haydn,  Franz  Joseph","SEASONS, THE"
"Villa-Lobos,  Heitor","CHOROS NO.  4"
"Chausson,  Ernest","POEME, OP. 25 (ARR. VIOLIN + PIANO) (ARR. Unspecified)"
"Prokofiev,  Sergei","HUMOROUS SCHERZO FOR FOUR BASSOONS, OP. 12, NO. 9"
"Suk,  Josef","FOUR SHORT PIECES"
"Wieniawski,  Henri","POLONAISE NO. 2 IN A MAJOR, OP.21"
"Bartok [Bartók],  Béla","SONATA, 2 PIANOS AND PERCUSSION, BB 115"
"Perry,  Julia","STUDY FOR ORCHESTRA"
"Turina,  Joaquin","POEMA EN FORMA DE CANCIONES, OP. 19"
"Tchaikovsky,  Pyotr  Ilyich","AT THE BALL: BALLET (ARR. Kostelanetz)"
"Tchaikovsky,  Pyotr  Ilyich","BETWEEN BIRTHDAYS (OGDEN NASH) (ARR. Kostelanetz)"
"Kreisler,  Fritz","SISSY"
"Kreisler,  Fritz","LIEBESFREUD (ORCH) (ARR. Lichter)"
"Lehar [Lehár],  Franz","COUNT OF LUXEMBOURG: SUITE"
"Vaughan Williams,  Ralph","THE LARK ASCENDING"
"Gershwin,  George","LET 'EM EAT CAKE: MINE (ARR. Huxley)"
"Handel,  George  Frideric","SOLOMON"
"Mendelssohn,  Felix","SYMPHONY NO. 1, C MINOR, OP.11"
"Offenbach,  Jacques","BELLE HELENE, LA"
"Poulenc,  Francis","GLORIA"
"Bernstein,  Leonard","CHICHESTER PSALMS"
"Bernstein,  Leonard","SERENADE"
"Rameau,  Jean-Philippe","PIÈCES DE CLAVECIN EN CONCERTS, NO. 1"
"Rameau,  Jean-Philippe","L'IMPATIENCE"
"Rameau,  Jean-Philippe","PIÈCES DE CLAVECIN (THIRD BOOK)"
"Rameau,  Jean-Philippe","LE BERGER FIDELE"
"Rameau,  Jean-Philippe","PIÈCES DE CLAVECIN EN CONCERTS, NO. 5"
"Faure [Fauré],  Gabriel-Urbain","SONATA FOR VIOLIN AND PIANO, A MAJOR, OP. 13"
"Varese [Varèse],  Edgard","HYPERPRISM"
"Carter,  Elliott","QUARTET, STRING, NO. 2"
"Cage,  John","VARIATIONS V"
"Messiaen,  Olivier","CHRONOCHROMIE"
"Casadesus,  Robert","CONCERTO, THREE PIANOS, OP. 65"
"Milhaud,  Darius","IN MEMORY OF JOHN F. KENNEDY"
"Milhaud,  Darius","SYMPHONY NO. 10"
"Diamond,  David","NONET"
"Ives,  Charles","LARGO"
"Foss,  Lukas","TIME CYCLE (CHAMBER VERSION)"
"Barber,  Samuel","DOVER BEACH, OP.3 (STRING QUARTET)"
"Kirchner,  Leon","CONCERTO, VIOLIN, CELLO, 10 WINDS & PERCUSSION"
"Copland,  Aaron","TENDER LAND, OPERA"
"Ives,  Charles","FROM THE STEEPLES AND THE MOUNTAINS"
"Schuman,  William","SONG OF ORPHEUS - FANTASY FOR CELLO AND ORCHESTRA"
"Wuorinen,  Charles","ORCHESTRAL AND ELECTRONIC EXCHANGES"
"Ellington,  Duke","NEW WORLD A'COMING"
"Ellington,  Duke","GOLDEN BROOM AND THE GREEN APPLE, THE"
"Copland,  Aaron","PREAMBLE, SOLEMN OCCASION"
"Strayhorn,  Billy","TAKE THE A TRAIN"
"Ellington,  Duke","SATIN DOLL"
"Schuman,  William","PHILHARMONIC FANFARE"
"Sibelius,  Jean","MEN MIN FLAGEL MARKS DOK ICKE (DOCH MEIN VOGEL KEHRT), OP. 36, NO. 2 (ARR. Pingoud)"
"Sibelius,  Jean","VAREN FLYKTAR HASTIGT (FRUEHLING UFERTANNEN), OP. 13, NO. 4"
"Sibelius,  Jean","LUONNOTAR, OP. 70"
"Nielsen,  Carl","SYMPHONY NO. 3, OP. 27 (SINFONIA ESPANSIVA)"
"Chavez [Chávez],  Carlos","CONCERTO, VIOLIN"
"Britten,  Benjamin","VOICES FOR TODAY, OP. 75"
"Shostakovich,  Dmitri","KATERINA IZMAYLOVA, OP. 114"
"Ginastera,  Alberto","CANCION AL ARBOL DEL OLVIDO"
"Montsalvatge,  Xavier","CINCO CANCIONES NEGRAS"
"Montsalvatge,  Xavier","CANTO NEGRO"
"Turina,  Joaquin","CANTO A SEVILLA, OP.37"
"Ives,  Charles","SYMPHONY NO. 3 (THE CAMP MEETING)"
"Puccini,  Giacomo","FANCIULLA DEL WEST, LA"
"Beethoven,  Ludwig  van","MEERESSTILLE UND GLUCKLICHE FAHRT, OP.112"
"Nielsen,  Carl","CONCERTO, FLUTE"
"Smit,  Leo","SYMPHONY NO. 2"
"Musorgsky,  Modest","PICTURES AT AN EXHIBITION (ORIGINAL PIANO VERSION)"
"Turner,  Charles","MARRIAGE OF ORPHEUS, THE"
"Menotti,  Gian  Carlo","APOCALYPSE"
"Hovhaness,  Alan","FANTASY ON JAPANESE WOODPRINTS"
"Beethoven,  Ludwig  van","MILITARY MARCHES FOR WINDS, WOO 18 & 19"
"Kilar,  Wojciech","RIFF 62"
"Foss,  Lukas","ELYTRES"
"Webern,  Anton  von","FIVE PIECES FOR ORCHESTRA, OP. 10"
"Berg,  Alban","SEVEN EARLY SONGS"
"Corigliano,  John, Jr.","SONATA, VIOLIN AND PIANO"
"Prokofiev,  Sergei","QUINTET FOR OB/CL/VLN/VLA/CB, OP. 39, G MINOR"
"Diamond,  David","SYMPHONY NO.  5"
"Diamond,  David","CONCERTO, PIANO"
"Bartok [Bartók],  Béla","CONCERTO, TWO PIANOS AND PERCUSSION, BB 121"
"Haydn,  Franz  Joseph","SYMPHONY NO.  84, E FLAT MAJOR"
"Shostakovich,  Dmitri","FESTIVAL FANTASY (ARR. Kostelanetz)"
"Mozart,  Wolfgang  Amadeus","CONTREDANSES, FOUR, K.271C (OLD K.267)"
"Mozart,  Wolfgang  Amadeus","CONTREDANCES, SIX, K.462"
"Mozart,  Wolfgang  Amadeus","COUNTRY DANCES (LÄNDLER), SIX, K.567"
"Mozart,  Wolfgang  Amadeus","COUNTRY DANCES (LÄNDLER), SIX, K.606"
"Mozart,  Wolfgang  Amadeus","CONTRA-DANCES AND GERMAN DANCES (ARR. Kostelanetz)"
"Gershwin,  George","PORGY AND BESS: SUITE  (ARR. Gould)"
"Traditional,","PORTUGUESE FOLKSONGS (ARR. Gomes)"
"Traditional,","FADO OF LISBON"
"Elgar,  Sir  Edward","WAND OF YOUTH, THE, SUITE, NO. 2"
"Traditional,","GREENSLEEVES"
"Anthem,","UNITED STATES (ARR. Stravinsky)"
"Stravinsky,  Igor","RAKE'S PROGRESS, THE"
"Stravinsky,  Igor","PULCINELLA: COMPLETE"
"Machaut,  Guillaume  De","HOQUETUS"
"Stravinsky,  Igor","ZVEZDOLIKI (THE STAR VISAGED)"
"Mozart,  Wolfgang  Amadeus","ABENDEMPFINDUNG, K.523"
"Mozart,  Wolfgang  Amadeus","ICH MÖCHTE WOHL DER KAISER SEIN, K.539"
"Musorgsky,  Modest","GATHERING MUSHROOMS"
"Musorgsky,  Modest","CRADLE SONG (1865)"
"Rachmaninoff,  Sergei","HARVEST OF SORROW, THE"
"Rachmaninoff,  Sergei","LITTLE ISLAND, THE"
"Rachmaninoff,  Sergei","BEFORE MY WINDOW"
"Rachmaninoff,  Sergei","TO THE CHILDREN"
"Britten,  Benjamin","SIX HOLDERLIN FRAGMENTS"
"Stravinsky,  Igor","FAUNE ET LA BERGERE, LE"
"Stravinsky,  Igor","CLOISTER, THE"
"Stravinsky,  Igor","BAISER DE LA FEE, EXCERPTS FOR VIOLIN AND PIANO"
"Stravinsky,  Igor","ELEGY"
"Stravinsky,  Igor","PIANO-RAG-MUSIC"
"Stravinsky,  Igor","L'HISTOIRE DU SOLDAT (COMPLETE)"
"Gesualdo,  Don  Carlo","AESTIMATUS SUM"
"Stravinsky,  Igor","OEDIPUS REX"
"Stravinsky,  Igor","FANFARE FOR A NEW THEATRE"
"Varese [Varèse],  Edgard","OCTANDRE"
"Carter,  Elliott","EIGHT ETUDES AND A FANTASY"
"Foss,  Lukas","ECHOI"
"Babbitt,  Milton","ENSEMBLES FOR SYNTHESIZER"
"Boulez,  Pierre","ECLAT"
"Webern,  Anton  von","KINDERSTUCK"
"Webern,  Anton  von","STRING TRIO"
"Stravinsky,  Igor","INTROITUS (T. S. ELIOT IN MEMORIAM)"
"Stravinsky,  Igor","FLOOD, A MUSICAL PLAY"
"Cowell,  Henry  Dixon","HYMN AND FUGUING TUNE NO. 16"
"Varese [Varèse],  Edgard","INTEGRALES [INTÉGRALES]"
"Schoenberg,  Arnold","CHAMBER SYMPHONY NO. 2, OP. 38"
"Blitzstein,  Marc","AIRBORNE SYMPHONY, THE"
"Fine,  Irving","SYMPHONY"
"Martirano,  Salvatore","CONTRASTO"
"Barber,  Samuel","TOCCATA FESTIVA, OP.36"
"Mozart,  Wolfgang  Amadeus","FANTASIA, MECHANICAL ORGAN, F MINOR, K.608 (ARR. Werner)"
"Honegger,  Arthur","SYMPHONY NO. 5 (DI TRE RE)"
"Chopin,  Frédéric","CONCERTO, PIANO, NO. 2 (TRANSCRIBED FOR ACCORDION)"
"Handel,  George  Frideric","CONCERTO, ORGAN, F MAJOR, NO. 13"
"Schubert,  Franz","TEUFELS LUSTSCHLOSS, DES, D.84"
"Ives,  Charles","FIREMEN'S PARADE ON MAIN STREET"
"Ives,  Charles","CIRCUS BAND, THE (ARR. Farberman)"
"Ives,  Charles","LINCOLN THE GREAT COMMONER"
"Sibelius,  Jean","TEMPEST, THE: SUITE NO. 2, OP. 109, NO. 3"
"Sibelius,  Jean","TEMPEST, THE: SUITE NO. 1, OP. 109, NO. 2"
"Fuleihan,  Anis","SYMPHONY NO. 2"
"Blomdahl,  Karl-Birger","FORMA FERRITONANS"
"Nielsen,  Carl","CONCERTO, CLARINET, OP.57"
"Haydn,  Franz  Joseph","SYMPHONY NO.  87, A MAJOR"
"Amram,  David","KING LEAR VARIATIONS"
"Garrido-Lecca,  Celso","ELEGIA A MACHU PICCHU"
"Hindemith,  Paul","PITTSBURGH SYMPHONY"
"Britten,  Benjamin","WAR REQUIEM, OP. 66"
"Rachmaninoff,  Sergei","SONG OF GEORGIA"
"Musorgsky,  Modest","GOPAK (VOICE + PIANO)"
"Foss,  Lukas","PHORION"
"Sibelius,  Jean","SYMPHONY NO. 6, D MINOR, OP. 104"
"Shchedrin,  Rodion","MISCHIEVOUS FOLK DITTIES"
"Denisov,  Edison","CRESCENDO E DIMINUENDO"
"Prokofiev,  Sergei","CONCERTO, PIANO, NO. 4, OP. 53, (LEFT HAND)"
"Khachaturian,  Aram","GAYANE, SUITE NO. 2, OP. 54"
"Chagrin,  Francis","ROUMANIAN FANTASY FOR HARMONICA"
"Traditional,","SING PRAISE AND GLORY"
"Traditional,","TELL ME, MY INNOCENT ONE"
