"Amato, Pasquale"
"Ochs, Erich"
"Norden, Berrick von"
"Shattuck, Frederic G."
"Macdowell Chorus"
"Catholic Oratorio Society"
"Hudson, Caroline"
"Mylott, Eva"
"Jepson, Harry"
"Biden, Sydney"
"Maley, Turney"
"Harriss, Estelle"
"Miller, Margaret"
"Reardon, Mildred G."
"Hussey, Ada C."
"Mulford, Florence"
"Veer, Nevada vander"
"Marvin, Cornelia"
"Kitchell, Charles M."
"Shaw, Alfred D."
"Hindermeyer, H. W."
"Jorn, Carl"
"Hampden, Walter"
"Showalter, Edna"
"Hutcheson, Ernest"
"Waterhouse, Viola"
"Berber, Felix"
"Hyde, Arthur S."
"Homer, Louise"
"Gluck, Alma"
"Lashanska, Hulda"
"Kocian, Jaroslav"
"Gurowitsch, Sara"
"Dodge, Elizabeth"
"Bowman, Beatrice"
"Wheeler, William"
"Burleigh, T. H."
"Children's Chorus"
"Choir Boys of St. George's Church"
"Clement, Edmond"
"Berthald, Barron"
"Bachaus, Wilhelm"
"Connell, Horatio"
"Rennyson, Gertrude"
"Braun, J.F."
"Zimbalist, Efrem"
"Borchard, Adolphe"
"Fradkin, Fredric"
"Consolo, Ernesto"
"Noble, Marion"
"Parlow, Kathleen"
"Clark, Charles W."
"Alexander, Hudson"
"Sylvan, Bertram"
"Shelke, W.F."
"Ornstein, Leo"
"Hess, Ludwig"
"Reusch, Helen"
"Simmons, E. Romayne"
"Burstine, Arkadie"
"Krueger, Adele"
"Hinkle, Florence"
"Wells, Barnes John"
"Shattuck, Arthur"
"Learned, Ellen"
"Miller, Christine"
"Backhaus, Wilhelm"
"Oratorio Society of Toronto"
"Green, Marion"
"Stevenson, Lucille Tewksbury"
"Van Der Veer, Nevada"
"Bagshaw, May"
"Fitzgerald, M. G."
"Brown, W. E. Gladstone"
"Milne, Harry"
"Turner, Beatrice"
"Fraemcke, August"
"Bonci, Alessandro"
"St. Cecilia Club"
"Teyte, Maggie"
"Fayer, Anton"
"Delamothe-Christin"
"Hutchinson, Maude"
"Howland, T."
"Deis, Carl"
"Ariani, Adriano"
"Liebling, Estelle"
"Gerhardt, Elena"
"Ayres, Cecile"
"Alda, Frances"
"Caspari, Frances"
"Wilson, Gilbert"
"Griswold, Putnam"
"Earle, Hamilton"
"Matzenauer, Margarete"
"McCormack, John"
"Clay, Spencer"
"Godowsky, Leopold"
"Dufranne, Hector"
"Galston, Gottfried"
"Weissmann, Hans"
"Le Roy, Henri Leon"
"Cahier, Charles"
"Persinger, Louis"
"Rappold, Marie"
"Althouse, Paul"
"Dunham, Edna Sands"
"Jordan, Mary"
"Pauer, Max"
"Lerner, Tina"
"Metzger, Ottilie"
"Janaushek, William"
"Reiter, Xaver"
"Grimson, Bonarios"
"Culp, Julia"
"Durieux, William"
"Loesch, Michael"
"Spross, Charles Gilbert"
"Finnegan, John"
"Stanley, James"
"Wirthlin, Rosalie"
"Schola Cantorum of NY"
"Woman's Musical Club Chorus"
"Oratorio Children's Chorus"
"Henderson, Winnifred"
"McLean, Russell G."
"Dana, Denison"
"Lapierre, M. Gabriel"
"Urlus, Jacques"
"Caslova, Marie"
"Hinshaw, William"
"Gerville-Reache, Jeanne"
"Kramer, Leopold"
"Langenus, Gustave"
"Nielsen, Alice"
"Harrison, Beatrice"
"De Angelis, Fred"
"Florigny, Renee"
"Franzl, Joseph"
"Choir of St. Bartholomew's Church"
"Renard, Jacques"
"Slezak, Leo"
"Flesch, Carl"
"Cheatham, Kitty"
"Adler, Clarence"
"Sassoli, Ada"
"Deyo, Ruth"
"Seagle, Oscar"
"Kneisel Quartet"
"Kneisel, Franz"
"Letz, Hans"
"Svecenski , Louis"
"Willeke, Willem"
"Savolini, Ugo"
"Tivin, Morris"
"Hempel, Frieda"
"Smith, Harold Osborn"
"Middleton, Arthur"
"Pe-ahm-e-squeet (Floating Cloud)"
"Metropolitan Opera House Ballet, Members of the"
"Castle, Vernon"
"Castle, Irene"
"La Forge, Frank"
"Dadmun, Royal"
"Piersol, Burton"
"Rosenstein, Arthur"
"Finkelstein, Nathaniel"
"Fremstad, Olive"
"Winkler, Leopold"
"Gittelson, Frank"
"Serato, Arrigo"
"Lyne, Felice"
"Spencer, Eleanor"
"Rose, Frances"
"Herzberg, Max M."
"Isadora Duncan Dancers"
"Namara, Marguerite"
"Falck, Edward"
"Friedberg, Carl"
"Sapirstein, David"
"Ferrari-Fontana, Edouardo"
"Loesser, Arthur"
"Kolar, Victor"
"Bourstin, Arkady"
"Pilzer, Maximilian"
"Van Lier, Lina Coen"
"Spoor, Wilhelm"
"Besekirsky, Wassily"
"Claussen, Julia"
"Bori, Lucrezia"
"Barwick, Leonard"
"Eastes, William"
"Leginska, Ethel"
"Van Endert, Elisabeth"
"Borwick, Leonard"
"Grainger, Percy"
"Harvard, Sue"
"Tudor, Elizabeth"
"Wagner, Marie Louise"
"Graveure, Louis"
"Pyle, Wynne"
"Casals, Pablo"
"Destinn, Emmy"
"Powell, John"
"Kurt, Melanie"
"Hoff, Anton"
"Alcock, Merle"
"St. John the Divine Chorus"
"Columbia University Chorus"
"Scott, Gilderoy"
"Quincy, Samuel"
"De Busscher, Henri"
"Gerhardt, Paul"
"Bianco, Attilio"
"Craft, Marcella"
"Peterson, May"
"Zoller, Ellmer"
"Hudson-Alexander, Caroline"
"Van Dresser, Marcia"
"Alexander, Hugh"
"Cox, Louise"
"Schmit, Lucien"
"Maier, Guy"
"Sundelius, Marie"
"Jovelli, Minnie"
"Olshansky, Bernado"
"Nash, Frances"
"Lindquest, Albert"
"Cochrane, Eleanore"
"Karle, Theo"
"Townsend, Ruth"
"College Choral Society"
"School Children's Chorus"
"Macrae, Tolbert"
"Cowperthwaite, A. S."
"Jellison, J. Otto"
"Treynor, I. M."
"Cox, Ernest L."
"Des Moines Festival Chorus"
"Yaggy, Edward"
"Tyler, Marguerite"
"Newman, Susie Ballinger"
"Hutchinson Municipal Chorus"
"Campbell, Roy A."
"Norfleet, Helen"
"Knight, Robert"
"Martin, George T."
"Barret, Hollingsworth"
"Geddes, Paul"
"Shreveport Musical Festival Chorus"
"Wren, Stella Prendergast"
"Pabst, Louis C."
"Littlejohn, Sara Helen"
"Chapman, Walter"
"Nashville Choral Society"
"Adler, Josef"
"Fitziu, Anna"
"Madriguera, Paquita"
"Sibella, Gabriele"
"Jacobinoff, Sascha"
"Braslau, Sophie"
"Salzedo, Carlos"
"Kingston, Morgan"
"Cairns, Clifford"
"Northrup, Grace D."
"Bryant, Rose"
"Perkinson, Lewis"
"Tucker, William Denham"
"St. Andrew Boys' Choir"
"St. Edward Boys' Choir"
"Goldsworthy, W. A."
"Novaes, Guiomar"
"Golde, Walter H."
"Shepherd, Betsy Lane"
"Schutz, Christine"
"Skrobisch, Jean"
"Derschuch, Fritz W."
"Mendelssohn Glee Club"
"Bethlehem Bach Choir"
"Roentgen, Engelbert"
"Lifschey, Samuel"
"Garrison, Mabel"
"Levitzki, Mischa"
"Macbeth, Florence"
"Goode, Blanche"
"Oukrainsky, Serge"
"Ludmila"
"Pavley, Andreas"
"Fay, Maude"
"Davis, Kate"
"Maitland, Robert"
"Frijsh, Povla"
"D'Alexandrowsky, Luba"
"De Treville, Yvonne"
"Kastner, Alfred"
"Brooklyn Community Chorus"
"Glenn, Wilfred"
"Heifetz, Jascha"
"Stanley, Helen"
"McKenna, Betty"
"Beethoven Society of New York"
"Rubinstein, Beryl"
"Chorus of Children from the Public Schools of New York"
"Starr, Frances"
"Harris, Rachel Morton"
"Stiles, Vernon"
"Moore, Francis"
"Brown, Eddy"
"Siegel, Louis"
"Morrey, Grace Hamilton"
"Lyon, Elsie"
"Chapman-Goold, Edith"
"Harris, Rachel"
"Hochstein, David"
"Muzio, Claudia"
"Megerlin, Alfred"
"Rosen, Max"
"Epstein, Richard"
"Case, Anna"
"New Choral Society of New York"
"Kerns, Grace"
"Hackett, Arthur"
"Beck, Alma"
"Moravian Trombone Choir"
"Fischer, Adelaide"
"Roberts, Emma"
"Parson, William"
"Shaw, Alice"
"Newcomb, Ethel"
"Welsh, Hunter"
"Chiaffarelli, Albert"
"Gates, Lucy"
"Engwerson Chorus"
"Cheadle, Belford"
"Soule, Ralph Warren"
"Farrar, Amparita"
"Smith, Roswitha Cranston"
"Lotito, J."
"Pollain, Rene"
"Dambois, Maurice"
"Easton, Florence"
"Vidas, Raoul"
"Maquarre, Daniel"
"Bailly"
"Paulist Choir"
"Tinlot, Gustave"
"Cortot, Alfred"
"Campbell, Craig"
"Schofield, Edgar"
"Casadesus, Henri"
"Bressler-Bailly"
"Apchain, Georges"
"Miller, Rosalie"
"Seidel, Toscha"
"Gardner, Samuel"
"Rubinstein, Artur"
"Liten, Carlo"
"Brachocki, Alexander"
"Kline, Olive"
"Murphy, Lambert"
"Miller, Samuel"
"Christie, Winifred"
"Jacobsen, Sascha"
"St. Thomas' Choristers"
"Cadorin, Erna"
"Ray, Ruth"
"Sparkes, Lenora"
"Madden, Lotta"
"Hughes, Edwin"
"Pierce, Seneca"
"Masson, Greta"
"Wyman, Loraine"
"Wurmser-Delcourt"
"Renard, Rosita"
"Moiseiwitsch, Benno"
"Ballard, Erin"
"Bonnet, Joseph"
"Gustafson, William"
"Werrenrath, Reinald"
"Ponselle, Rosa"
"Prokofiev, Sergei"
"Aubert, John"
