"Venue"
"Fifth Avenue Presbyterian Church"
"Home of Mr. & Mrs. James Buckman"
"Volkshaus"
"Palace of Arts (Bela Bartók National Concert Hall)"
"Semperopera"
"St. Thomas More Church"
"L'Addresse Symphonique"
"Doubles Club at the Sherry Netherland Hotel"
"Winfield House"
"New York Institute of Technology Broadway Auditorium"
"Brick Church"
"Walt Disney Concert Hall"
"Jackson Hall"
"Copley Symphony Hall"
"Neue Galerie"
"Park Avenue Armory"
"The Mansion at Natirar"
"Holy Trinity Lutheran Church"
"Kurtz Residence (Home of Honey M. Kurtz)"
"Ahmed Adnan Saygun Arts Centre"
"Halic Auditorium"
"Konzerthaus Berlin"
"Transparent Factory"
"Hite Residence, Central Park S."
"Amphitheater at the Elinor Bunin Munroe Film Center"
"Museo Rufino Tamayo"
"Myungsung Presbyterian Church"
"Universidad Catolica"
"venue to be announced"
"SubCulture"
"David Rubenstein Atrium at Lincoln Center"
"9/11 Memorial Museum"
"Museum of Modern Art, The"
"DiMenna Center"
"U.S. Consulate Shanghai"
"Shanghai Symphony Hall--Chamber Hall"
"Hon. Frank and Mrs. Newman Residence"
"Johnson Residence (Home of Ann and Charles Johnson)"
"Takahashi Residence (Home of Motomu and Megumi Takahashi)"
"Milton Court at Guild Hall, Barbican Centre"
"Philharmonie de Paris, La"
"Wallraf-Richartz Museum"
"Upper Story"
"Shanghai Symphony Hall"
"Shanghai Poly Grand Theatre"
"De Vink Residence"
"Donovan Pavilion"
"Santa Barbara Bowl"
"David Geffen Hall"
"Jamaica Performing Arts Center"
"National Sawdust"
"Mr. and Mrs. Mike Kahn Residence"
"Neil Westreich and Michael O'Keefe Residence"
"Didi and Oscar Schafer Residence"
"Baita at Eataly"
"Michele and Marty Cohen Residence"
"Good Shepherd Faith Presbyterian Church"
"Temple of Dendur at the Metropolitan Museum of Art"
"Angel Orensanz Foundation"
"The Greene Space"
"Housing Works Bookstore Care"
"Laemmlein and Leah Buttenwiester Hall"
"The Green Space at WQXR"
"Whitney Museum of American Art"
"The New York Yacht Club"
"Guild Hall"
"Pondicheri"
"Cosmopolitan Club"
"Buckfire residence"
"Home of Neil Westreich and Michael O'Keefe"
"Bell House, The"
"Interlochen Arts Center"
"St. Paul the Apostle"
"Weill Music Room, Carnegie Hall"
"Queen Elisabeth Hall"
"Vadászterem [Hunters Hall] in the Hungarian Parliament"
"Mupa  (Bela Bartók National Concert Hall)"
"Johann Strauss Concert Hall, Palais Coburg"
"Elbphilharmonie"
"Koncertuset"
"House of Yes"
