"","workTitle"
"5137","CONCERTO, PIANO, F SHARP MINOR, OP.1"
"5149","SAMSON"
"5177","ZWEI EPISODEN AUS LENAUS FAUST"
"5208","BALLADE AND POLONAISE, VIOLIN, OP.38"
"5217","SYMPHONY, D MINOR"
"5225","CONCERTO, VIOLIN, NO. 5, A MINOR, OP.37"
"5234","DON SEBASTIEN"
"5259","CONCERTO, PIANO, NO. 1, E FLAT MAJOR"
"5267","ROMEO ET JULIETTE, OP.17"
"5275","IMPROMPTU [UNSPECIFIED]"
"5309","CONCERTO, PIANO NO. 10, E-FLAT MAJOR, K.316A (OLD K.365) (2 PIANOS)"
"5315","FRITHJOF'S SAGA"
"5351","OTHELLO OVERTURE"
"5353","FANTASY ON BEETHOVEN'S RUINS OF ATHENS"
"5397","KING IN THULE, THE"
"5401","FAREWELL"
"5433","ROMAN TRIUMPH"
"5443","RINALDO"
"5447","HAMLET"
"5449","ORFEO ED EURIDICE (GENERAL)"
"5461","SÉMIRAMIS"
"5465","CE QU'ON ENTEND SUR LA MONTAGNE (SYMPHONIC POEM NO. 1)"
"5467","SYMPHONY NO. 5, D MAJOR, OP.107 (REFORMATION)"
"5473","SYMPHONY NO. 8, B MINOR, D.759 (UNFINISHED)"
"5475","POLACCA GUERRIERA, VIOLIN"
"5479","SUITE NO. 3, D MAJOR, BWV 1068"
"5515","IDEALE, DIE (SYMPHONIC POEM NO. 12)"
"5535","SALVE MARIA"
"5570","SYMPHONY NO. 2, C MAJOR, OP. 140"
"5573","CONCERTO, VIOLIN NO. 4, D MAJOR, K.218"
"5585","FANTASIA FROM BELLINI'S ROMEO"
"5591","NORWAY"
"5606","SAKUNTALA OVERTURE, OP. 13"
"5713","DANTE SYMPHONY (CHORAL)"
"5722","AH, PERFIDO, OP.65"
"5745","MEISTERSINGER, DIE, WWV 96"
"5766","LEGENDE VON DER HEILIGEN ELISABETH, DIE"
"5788","CONCERTO, PIANO, NO. 2, A MAJOR"
"5832","SYMPHONY NO. 2, C MAJOR, OP.42, (OCEAN) (1851 VERSION)"
"5840","CONCERTO, PIANO, NO. 4"
"5853","RECITATIVE AND ROMANZE"
"5880","QUARTET, SERENADE"
"5900","E DUNQUE VERO?, OP. 58"
"5908","ALADDIN"
"5912","CONCERTO, PIANO, NO. 4, D MINOR, OP. 70"
